3. Zeile und 49.Spalte, Wert:187355.2852924728
3. Zeile und 50.Spalte, Wert:187622.14608253524
3. Zeile und 51.Spalte, Wert:187778.93327299855
3. Zeile und 52.Spalte, Wert:188005.50117613666
3. Zeile und 53.Spalte, Wert:187500.81031275576
3. Zeile und 54.Spalte, Wert:190967.76063632494
3. Zeile und 55.Spalte, Wert:188071.1606535382
3. Zeile und 56.Spalte, Wert:187305.52719722647
3. Zeile und 57.Spalte, Wert:187297.47983828333
3. Zeile und 58.Spalte, Wert:187930.39802223354
3. Zeile und 59.Spalte, Wert:187914.63271346324
3. Zeile und 60.Spalte, Wert:187846.06935560718
3. Zeile und 61.Spalte, Wert:187726.51614465937
3. Zeile und 62.Spalte, Wert:187154.09956777116
3. Zeile und 63.Spalte, Wert:187119.40047515184
3. Zeile und 64.Spalte, Wert:188095.01629903502
3. Zeile und 65.Spalte, Wert:187769.73320037755
3. Zeile und 66.Spalte, Wert:188154.53060729825
3. Zeile und 67.Spalte, Wert:188043.01941641816
3. Zeile und 68.Spalte, Wert:187744.2329335298
3. Zeile und 69.Spalte, Wert:187746.2300424246
3. Zeile und 70.Spalte, Wert:187350.9858989764
3. Zeile und 71.Spalte, Wert:187682.1869256491
3. Zeile und 72.Spalte, Wert:187793.6425839865
3. Zeile und 73.Spalte, Wert:187979.6889432855
3. Zeile und 74.Spalte, Wert:186718.39901910193
3. Zeile und 75.Spalte, Wert:188100.07902250625
3. Zeile und 76.Spalte, Wert:187722.61300703138
3. Zeile und 77.Spalte, Wert:187819.81310088123
3. Zeile und 78.Spalte, Wert:188150.3876364638
3. Zeile und 79.Spalte, Wert:187090.66277581733
3. Zeile und 80.Spalte, Wert:187939.31212061225
3. Zeile und 81.Spalte, Wert:188091.62673707193
3. Zeile und 82.Spalte, Wert:187934.26257634166
3. Zeile und 83.Spalte, Wert:187272.15582807566
3. Zeile und 84.Spalte, Wert:187972.6957249045
3. Zeile und 85.Spalte, Wert:188027.91863452038
3. Zeile und 86.Spalte, Wert:188171.30093584163
3. Zeile und 87.Spalte, Wert:187828.204028219
3. Zeile und 88.Spalte, Wert:187135.4565212367
3. Zeile und 89.Spalte, Wert:187862.23301840006
3. Zeile und 90.Spalte, Wert:188024.2450021058
3. Zeile und 91.Spalte, Wert:187710.15084144459
3. Zeile und 92.Spalte, Wert:187957.29640821106
3. Zeile und 93.Spalte, Wert:187425.4896748035
3. Zeile und 94.Spalte, Wert:187366.84726681534
3. Zeile und 95.Spalte, Wert:187869.00825054193
3. Zeile und 96.Spalte, Wert:187931.6367147063
3. Zeile und 97.Spalte, Wert:188058.033684543
3. Zeile und 98.Spalte, Wert:187842.22499162387
3. Zeile und 99.Spalte, Wert:187927.42680733683
3. Zeile und 100.Spalte, Wert:187825.66172705666
4. Zeile und 0.Spalte, Wert:191543.4624553934
4. Zeile und 1.Spalte, Wert:190953.56074821317
4. Zeile und 2.Spalte, Wert:191241.0895078182
4. Zeile und 3.Spalte, Wert:191748.24192588875
4. Zeile und 4.Spalte, Wert:190972.98217028368
4. Zeile und 5.Spalte, Wert:190556.83728212895
